N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,0.00010673289000000003,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.003152138926931374
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,8.732691000000003e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0027094799596176786
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,7.859421900000003e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002671389649592823
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.003081018114214281
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,65.91796875,56.25,100.0,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0030217563333730245
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,39.55078125,56.25,100.0,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.003052386191670954
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,70.3125,100.0,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0026017718761067125
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,42.1875,100.0,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.003073319936212566
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,52.734375,100.0,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002929285455098945
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,100.0,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0032703715174952027
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,125.0,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0027585294454840507
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,75.0,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0029399436194505802
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,56.25,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0029373804655003725
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,42.1875,118.59210000000002,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0031054417144938886
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,42.1875,130.45131,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0026947001047541454
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,42.1875,106.73289000000001,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0029546069221330707
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,42.1875,117.40617900000001,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0028483559147697577
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,42.1875,129.1467969,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002655172020423414
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,42.1875,142.06147658999998,3000,500,7.073479710000002e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.003063904492407765
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,42.1875,142.06147658999998,3000,500,7.073479710000002e-05,0.010673288999999999,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.003079629661304065
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,42.1875,142.06147658999998,3000,500,7.073479710000002e-05,0.008732691,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002930637910597237
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,42.1875,142.06147658999998,3000,500,7.073479710000002e-05,0.00970299,1.0999999999999999,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0026118744850665166
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,65.91796875,42.1875,142.06147658999998,3000,500,7.073479710000002e-05,0.00970299,0.9999999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002937248838860697
